lake,date,depth_m,corrected_chl_ug_l,total_chl_ug_l,pheo_ug_l,po4_u_m,no3_u_m,tdn_u_m,tn_u_m,tp_u_m,tdp_u_m,pp_ug_l,pn_ug_l,pc_ug_l,alk_meq_l
I7,2010-08-10T00:00:00Z,1,1.13,1.29,0.31,0.11,0.02,14.59372682,17.077122154189126,NA,NA,NA,34.79,261.61,0.44
I7,2010-08-10T00:00:00Z,6,1.31,1.59,0.54,0.1,NA,12.52855574,15.665510614398727,NA,NA,NA,43.94,281.48,0.434
I7,2010-08-10T00:00:00Z,10,0.92,1.24,0.64,0.07,0.42,15.32845114,18.392788287708772,NA,NA,NA,42.93,275.78,0.479
I8,2010-08-10T00:00:00Z,1,1.35,1.49,0.28,0.1,0.17,17.47305188,20.154892027605882,NA,NA,NA,37.57,283.39,0.67
I8,2010-08-10T00:00:00Z,3,1.2,1.34,0.28,0.08,0.33,16.63904048,19.369292445399182,NA,NA,NA,38.25,283.62,0.691
I8,2010-08-10T00:00:00Z,7,0.84,1.01,0.33,0.11,0.12,16.87732945,21.786113216097867,NA,NA,NA,68.76,487.96,0.672
NE 14,2010-08-11T00:00:00Z,1,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,13.1,121.5,1.81
NE 14,2010-08-11T00:00:00Z,9,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,16.6,145.6,1.898
NE 14,2010-08-11T00:00:00Z,15,NA,NA,NA,0.02,NA,7.9,NA,NA,NA,NA,20,147.7,2.079
Toolik,2010-08-13T00:00:00Z,0,1.18,1.29,0.22,0.01,0.12,13.06985998,16.00349482022635,NA,NA,NA,41.1,306.29,0.712
Toolik,2010-08-13T00:00:00Z,1,1.19,1.31,0.24,0.02,0.03,13.333003955,16.10352873945824,NA,NA,NA,38.81,308.43,0.712
Toolik,2010-08-13T00:00:00Z,3,1.2,1.33,0.26,0.01,0.29,13.57590609,17.161981153298782,NA,NA,NA,50.23,356.33,0.704
Toolik,2010-08-13T00:00:00Z,5,1.27,1.41,0.26,0.01,0.16,12.66502309,15.43554787445824,NA,NA,NA,38.81,283.49,0.708
Toolik,2010-08-13T00:00:00Z,8,1.28,1.43,0.29,0.02,0.31,12.86744153,15.540100280997377,NA,NA,NA,37.44,261.45,0.7
Toolik,2010-08-13T00:00:00Z,12,1.28,1.5,0.42,0.02,0.78,12.46260464,15.42886149137997,NA,NA,NA,41.55,283.79,0.683
Toolik,2010-08-13T00:00:00Z,16,0.88,1.1,0.42,0.04,1.83,13.49493871,16.004487405229266,NA,NA,NA,35.16,262.07,0.681
Toolik,2010-08-13T00:00:00Z,20,0.51,0.76,0.47,0.04,2.41,14.30461249,17.009893252151,NA,NA,NA,37.9,262.07,0.705
Toolik,2010-08-13T00:00:00Z,1,1.27,1.32,0.09,0.01,0.74,NA,NA,NA,NA,NA,52.52,360.61,NA
Toolik,2010-09-02T00:00:00Z,0,1.28,1.42,0.27,NA,0.03,NA,NA,NA,NA,NA,40.64,288.23,NA
Toolik,2010-09-02T00:00:00Z,1,1.24,1.4,0.32,NA,0.19,NA,NA,NA,NA,NA,47.49,308.58,NA
Toolik,2010-09-02T00:00:00Z,3,1.22,1.37,0.27,NA,0.02,NA,NA,NA,NA,NA,52.52,318.22,NA
Toolik,2010-09-02T00:00:00Z,5,1.2,1.38,0.34,NA,0.06,NA,NA,NA,NA,NA,38.81,277.52,NA
Toolik,2010-09-02T00:00:00Z,8,1.15,1.29,0.27,NA,0.04,NA,NA,NA,NA,NA,38.81,276.3,NA
Toolik,2010-09-02T00:00:00Z,12,0.63,0.76,0.25,NA,1.42,NA,NA,NA,NA,NA,32.87,213.4,NA
Toolik,2010-09-02T00:00:00Z,16,0.41,0.57,0.31,NA,2.25,NA,NA,NA,NA,NA,31.04,204.22,NA
Toolik,2010-09-02T00:00:00Z,20,0.52,0.74,0.42,NA,2.8,NA,NA,NA,NA,NA,33.33,224.42,NA
Toolik,2010-09-15T00:00:00Z,0,1.21,1.38,0.33,NA,0.08,NA,NA,NA,NA,NA,47.49,307.82,NA
Toolik,2010-09-15T00:00:00Z,1,0.97,1.13,0.29,NA,0.05,NA,NA,NA,NA,NA,41.1,270.79,NA
Toolik,2010-09-15T00:00:00Z,3,1.1,1.3,0.38,NA,NA,NA,NA,NA,NA,NA,42.92,294.35,NA
Toolik,2010-09-15T00:00:00Z,5,0.84,0.98,0.27,NA,0.08,NA,NA,NA,NA,NA,40.18,269.87,NA
Toolik,2010-09-15T00:00:00Z,8,1.15,1.33,0.36,NA,0.09,NA,NA,NA,NA,NA,34.24,247.22,NA
Toolik,2010-09-15T00:00:00Z,12,0.47,0.61,0.27,NA,0.81,NA,NA,NA,NA,NA,35.16,235.75,NA
Toolik,2010-09-15T00:00:00Z,16,0.48,0.61,0.24,NA,2.17,NA,NA,NA,NA,NA,25.1,172.24,NA
Toolik,2010-09-15T00:00:00Z,20,0.39,0.51,0.23,NA,2.04,NA,NA,NA,NA,NA,24.19,180.66,NA
Toolik,2010-09-24T00:00:00Z,0,1.44,1.61,0.33,NA,0.36,NA,NA,NA,NA,NA,40.18,295.42,NA
Toolik,2010-09-24T00:00:00Z,1,1.5,1.68,0.36,NA,0.15,NA,NA,NA,NA,NA,43.38,319.14,NA
Toolik,2010-09-24T00:00:00Z,3,1.49,1.68,0.36,NA,0.18,NA,NA,NA,NA,NA,48.41,327.71,NA
Toolik,2010-09-24T00:00:00Z,5,1.53,1.72,0.37,NA,0.27,NA,NA,NA,NA,NA,43.84,313.63,NA
Toolik,2010-09-24T00:00:00Z,8,1.64,1.82,0.35,NA,0.21,NA,NA,NA,NA,NA,42.47,315.47,NA
Toolik,2010-09-24T00:00:00Z,12,1.47,1.66,0.38,NA,0.24,NA,NA,NA,NA,NA,42.01,298.03,NA
Toolik,2010-09-24T00:00:00Z,16,1.39,1.58,0.38,NA,0.52,NA,NA,NA,NA,NA,40.64,293.74,NA
Toolik,2010-09-24T00:00:00Z,20,0.95,1.14,0.36,NA,2.34,NA,NA,NA,NA,NA,37.9,275.99,NA
NE 14,2011-05-12T00:00:00Z,1,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA
NE 14,2011-05-12T00:00:00Z,3,NA,NA,NA,0.02,0.36,7.2,NA,NA,NA,NA,28.7,171.9,2.122
NE 14,2011-05-12T00:00:00Z,5,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA
NE 14,2011-05-12T00:00:00Z,8,NA,NA,NA,0.03,1.26,8.4,NA,NA,NA,NA,16.5,144.5,2.118
NE 14,2011-05-12T00:00:00Z,12,NA,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA
NE 14,2011-05-12T00:00:00Z,16,NA,NA,NA,0.02,5.8,10.2,NA,NA,NA,NA,14.5,132.6,2.264
NE 14,2011-05-12T00:00:00Z,19,NA,NA,NA,0.02,1.65,14.4,NA,NA,NA,NA,35.7,162.7,2.539
NE 14,2011-06-16T00:00:00Z,0,NA,NA,NA,0.01,0.12,7.6,NA,NA,NA,NA,23.3,232.6,2.016
NE 14,2011-06-16T00:00:00Z,1,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA
NE 14,2011-06-16T00:00:00Z,3,NA,NA,NA,0.02,0.01,7.9,NA,NA,NA,NA,77.59999999999998,281.3,1.953
NE 14,2011-06-16T00:00:00Z,5,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA
NE 14,2011-06-16T00:00:00Z,8,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
NE 14,2011-06-16T00:00:00Z,12,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA
NE 14,2011-06-16T00:00:00Z,16,NA,NA,NA,0.02,1.4,9.7,NA,NA,NA,NA,26.9,235.3,2.338
Toolik,2011-06-17T00:00:00Z,0,2.68,2.95,0.51,0.03,0.65,14.21002123,NA,NA,NA,NA,NA,NA,0.707
Toolik,2011-06-17T00:00:00Z,1,2.95,3.42,0.89,0.06,2.55,14.111166108,NA,NA,NA,NA,NA,NA,0.674
Toolik,2011-06-17T00:00:00Z,3,2.97,3.38,0.78,0.04,3.84,14.407731475,NA,NA,NA,NA,NA,NA,NA
Toolik,2011-06-17T00:00:00Z,5,2.55,2.99,0.82,0.04,2.43,14.743838895,NA,NA,NA,NA,NA,NA,0.607
Toolik,2011-06-17T00:00:00Z,8,1.68,1.98,0.57,0.06,3.25,15.32708412,NA,NA,NA,NA,NA,NA,0.67
Toolik,2011-06-17T00:00:00Z,12,1.04,1.32,0.52,0.03,1.74,14.68452582,NA,NA,NA,NA,NA,NA,0.83
Toolik,2011-06-17T00:00:00Z,16,0.65,0.86,0.38,0.04,5.49,16.711055835,NA,NA,NA,NA,NA,NA,0.672
Toolik,2011-06-17T00:00:00Z,19,0.55,0.75,0.36,0.08,4.73,19.424522155,NA,NA,NA,NA,NA,NA,0.783
Toolik,2011-06-17T00:00:00Z,1,NA,NA,NA,0.06,3.88,NA,NA,NA,NA,NA,NA,NA,NA
I1,2011-06-21T00:00:00Z,1,1.35,1.54,0.36,0.11,3.23,14.13992349,22.38734762353853,NA,NA,NA,NA,NA,0.193
I1,2011-06-21T00:00:00Z,4,2.37,2.65,0.53,0.03,0.09,15.69141123,26.183615440382233,NA,NA,NA,NA,NA,0.201
I1,2011-06-21T00:00:00Z,9,3.67,4.18,0.96,0.04,1.01,15.19493516,26.91879418925388,NA,NA,NA,NA,NA,0.204
I2,2011-06-21T00:00:00Z,1,1.34,1.57,0.43,0.04,1.91,15.77415725,23.793548048180106,NA,NA,NA,NA,NA,0.176
I2,2011-06-21T00:00:00Z,4,3.54,4.28,1.4,0.08,4.36,18.91850574,30.351068356925573,NA,NA,NA,NA,NA,0.168
I2,2011-06-21T00:00:00Z,14,0.57,0.77,0.38,0.04,2.22,19.47704133,22.77765514011235,NA,NA,NA,NA,NA,0.17
I3,2011-06-21T00:00:00Z,1,1.33,1.67,0.63,0.03,0.1,14.40884803,25.2239515653688,NA,NA,NA,NA,NA,0.171
I3,2011-06-21T00:00:00Z,3,1.81,2.23,0.79,0.07,NA,13.06422532,24.582779920281922,NA,NA,NA,NA,NA,0.17
I4,2011-06-21T00:00:00Z,1,1.62,2.09,0.89,0.03,0.2,13.78825293,25.84302651571175,NA,NA,NA,NA,NA,0.131
I4,2011-06-21T00:00:00Z,4,4.34,5.08,1.4,0.09,NA,13.80893944,27.20809635006187,NA,NA,NA,NA,NA,0.139
I4,2011-06-21T00:00:00Z,6,2.52,3.23,1.34,0.05,0.24,11.22312653,33.58229885923864,NA,NA,NA,NA,NA,0.138
I5,2011-06-21T00:00:00Z,1,1.41,1.82,0.76,0.06,NA,14.98807012,26.125662196875055,NA,NA,NA,NA,NA,0.16
I5,2011-06-21T00:00:00Z,4,2.64,3.17,0.99,0.04,1.97,13.16765784,25.930309471854013,NA,NA,NA,NA,NA,0.158
I5,2011-06-21T00:00:00Z,8,1.1,1.55,0.85,0.04,3.61,15.71209774,26.77025314782916,NA,NA,NA,NA,NA,0.16
I6,2011-06-21T00:00:00Z,1,1.16,1.33,0.33,0.04,3.35,13.68482042,20.78921529407809,NA,NA,NA,NA,NA,0.971
I6,2011-06-21T00:00:00Z,4,8.9,10.16,2.38,0.05,NA,12.11264617,20.016961144913616,NA,NA,NA,NA,NA,0.966
I6,2011-06-21T00:00:00Z,6,3.91,4.39,0.91,0.04,1.34,14.1812965,23.071656700843356,NA,NA,NA,NA,NA,0.978
I6,2011-06-22T00:00:00Z,1,1.52,1.68,0.31,0.03,2.15,13.39520937,24.650711226983184,NA,NA,NA,NA,NA,0.35
I6,2011-06-22T00:00:00Z,4,2.76,3.46,1.33,0.04,3.64,15.5052327,30.52397161023758,NA,NA,NA,NA,NA,0.36
I6,2011-06-22T00:00:00Z,12,0.59,0.9,0.59,0.02,3.92,17.03603395,26.661838868081546,NA,NA,NA,NA,NA,0.382
I7,2011-06-22T00:00:00Z,1,0.88,1.06,0.35,0.02,0.27,15.60866522,25.97044014210679,NA,NA,NA,NA,NA,0.338
I7,2011-06-22T00:00:00Z,3,2.26,2.7,0.83,0.03,2.92,15.69141123,26.372564500411325,NA,NA,NA,NA,NA,0.329
I7,2011-06-22T00:00:00Z,10,1,1.35,0.66,0.07,3.21,16.27063333,27.254676472546336,NA,NA,NA,NA,NA,0.311
I8,2011-06-22T00:00:00Z,1,2.38,2.82,0.83,0.03,NA,13.39520937,22.838964052283103,NA,NA,NA,NA,NA,0.485
I8,2011-06-22T00:00:00Z,4,4.11,4.79,1.3,0.04,1.91,11.88509463,24.48964582108266,NA,NA,NA,NA,NA,0.464
I8,2011-06-22T00:00:00Z,7,2.12,2.7,1.09,0.04,3.41,11.45067807,20.783307293098897,NA,NA,NA,NA,NA,0.436
NE 14,2011-06-23T00:00:00Z,1,NA,NA,NA,0.01,0.08,6.9,NA,NA,NA,NA,74.7,196.2,2.544
NE 14,2011-06-23T00:00:00Z,4,NA,NA,NA,0.02,0.03,7.4,NA,NA,NA,NA,57.5,207.4,1.939
NE 14,2011-06-23T00:00:00Z,16,NA,NA,NA,0.02,0.65,10.3,NA,NA,NA,NA,60.9,237.1,2.022
Toolik,2011-06-24T00:00:00Z,0,2.01,2.12,0.21,0.04,3.47,15.54456539,NA,NA,NA,NA,NA,NA,0.686
Toolik,2011-06-24T00:00:00Z,1,1.73,1.93,0.38,0.05,2.88,14.33194255,NA,NA,NA,NA,NA,NA,0.68
Toolik,2011-06-24T00:00:00Z,3,2.61,2.87,0.49,0.06,0.43,12.39108697,NA,NA,NA,NA,NA,NA,0.69
Toolik,2011-06-24T00:00:00Z,5,3.95,4.35,0.75,0.05,0.85,13.38952371,NA,NA,NA,NA,NA,NA,0.683
Toolik,2011-06-24T00:00:00Z,8,0.78,1,0.4,0.03,1.76,13.745402155,NA,NA,NA,NA,NA,NA,0.687
Toolik,2011-06-24T00:00:00Z,12,0.65,0.87,0.41,0.03,4.13,14.368189425,NA,NA,NA,NA,NA,NA,0.761
Toolik,2011-06-24T00:00:00Z,16,0.52,0.77,0.45,0.04,2.14,14.546128645,NA,NA,NA,NA,NA,NA,0.718
Toolik,2011-06-24T00:00:00Z,19,0.49,0.83,0.65,0.04,4.92,14.892121575000001,NA,NA,NA,NA,NA,NA,0.727
Toolik,2011-06-24T00:00:00Z,1,1.6,1.77,0.32,0.04,0.14,NA,NA,NA,NA,NA,NA,NA,NA
Fog 02,2011-06-29T00:00:00Z,0,0.64,0.7,0.12,0.03,0.55,11.96212242,NA,NA,NA,NA,NA,NA,1.394
Fog 02,2011-06-29T00:00:00Z,1,0.34,0.37,0.04,0.03,1.27,10.77172073,NA,NA,NA,NA,NA,NA,1.398
Fog 02,2011-06-29T00:00:00Z,3,0.56,0.63,0.13,0.04,1.03,10.10821814,NA,NA,NA,NA,NA,NA,1.396
Fog 02,2011-06-29T00:00:00Z,5,1.02,1.13,0.21,0.03,1.45,9.308112084,NA,NA,NA,NA,NA,NA,1.438
Fog 02,2011-06-29T00:00:00Z,8,2.19,2.55,0.67,0.05,1.48,11.24007549,NA,NA,NA,NA,NA,NA,1.499
Fog 02,2011-06-29T00:00:00Z,12,3.09,3.51,0.8,0.05,1.85,11.16201637,NA,NA,NA,NA,NA,NA,1.601
Fog 02,2011-06-29T00:00:00Z,16,1.22,1.67,0.86,0.05,1.55,16.35294836,NA,NA,NA,NA,NA,NA,1.754
Fog 04,2011-06-29T00:00:00Z,0,1.74,1.89,0.29,0.04,0.22,18.36297089,NA,NA,NA,NA,NA,NA,1.656
Fog 04,2011-06-29T00:00:00Z,1,2.22,2.49,0.52,0.04,1.21,18.6752074,NA,NA,NA,NA,NA,NA,0.824
Fog 04,2011-06-29T00:00:00Z,3,2.58,3.11,1.01,0.06,1.37,21.56339513,NA,NA,NA,NA,NA,NA,0.926
Toolik,2011-07-01T00:00:00Z,0,1.56,1.78,0.43,0.03,2.04,14.86246504,NA,NA,NA,NA,NA,NA,0.694
Toolik,2011-07-01T00:00:00Z,1,1.52,1.76,0.45,0.1,2.79,12.475113825,NA,NA,NA,NA,NA,NA,0.69
Toolik,2011-07-01T00:00:00Z,3,1.56,1.8,0.47,0.03,2.4,13.42906576,NA,NA,NA,NA,NA,NA,0.693
Toolik,2011-07-01T00:00:00Z,5,3.09,3.51,0.8,0.03,0.23,13.00398873,NA,NA,NA,NA,NA,NA,0.691
Toolik,2011-07-01T00:00:00Z,8,2.27,2.65,0.71,0.03,1.18,12.94467566,NA,NA,NA,NA,NA,NA,0.697
Toolik,2011-07-01T00:00:00Z,12,0.82,1.02,0.38,0.03,2.17,14.47693006,NA,NA,NA,NA,NA,NA,0.709
Toolik,2011-07-01T00:00:00Z,16,0.57,0.78,0.41,0.03,3.99,15.70273358,NA,NA,NA,NA,NA,NA,0.71
Toolik,2011-07-01T00:00:00Z,19,0.74,0.93,0.35,0.04,3.4,15.00086221,NA,NA,NA,NA,NA,NA,0.701
Toolik,2011-07-01T00:00:00Z,1,1.52,1.79,0.51,0.03,0.17,NA,NA,NA,NA,NA,NA,NA,NA
NE 14,2011-07-02T00:00:00Z,1,NA,NA,NA,0.02,NA,9,NA,NA,NA,NA,39,212.7,1.915
NE 14,2011-07-02T00:00:00Z,6,NA,NA,NA,0.03,0.01,7.2,NA,NA,NA,NA,58.3,376.4,1.911
NE 14,2011-07-02T00:00:00Z,16,NA,NA,NA,0.01,0.42,7.6,NA,NA,NA,NA,69.3,325.3,2.411
NE 14,2011-07-07T00:00:00Z,1,NA,NA,NA,0.01,NA,9.1,NA,NA,NA,NA,38.2,181,2.283
NE 14,2011-07-07T00:00:00Z,6,NA,NA,NA,0.02,0.01,8.5,NA,NA,NA,NA,48.7,195.6,1.912
NE 14,2011-07-07T00:00:00Z,16,NA,NA,NA,0.02,0.45,8.6,NA,NA,NA,NA,70,336.5,2.132
Toolik,2011-07-08T00:00:00Z,0,0.92,1.13,0.39,0.03,2.39,12.74503428,NA,NA,NA,NA,NA,NA,0.688
Toolik,2011-07-08T00:00:00Z,1,0.97,1.17,0.37,0.02,2.16,11.7514718,NA,NA,NA,NA,NA,NA,0.677
Toolik,2011-07-08T00:00:00Z,3,0.89,1.06,0.32,0.02,3.23,11.183015655,NA,NA,NA,NA,NA,NA,0.694
Toolik,2011-07-08T00:00:00Z,5,1.31,1.55,0.46,0.04,1.53,12.04311452,NA,NA,NA,NA,NA,NA,0.68
Toolik,2011-07-08T00:00:00Z,8,3.03,3.61,1.11,0.03,2.01,11.57846341,NA,NA,NA,NA,NA,NA,0.68
Toolik,2011-07-08T00:00:00Z,12,0.98,1.23,0.47,0.03,3.61,12.369358915,NA,NA,NA,NA,NA,NA,0.694
Toolik,2011-07-08T00:00:00Z,16,0.59,0.8,0.39,0.03,2.11,13.328319715,NA,NA,NA,NA,NA,NA,0.708
Toolik,2011-07-08T00:00:00Z,19,0.58,0.76,0.34,0.03,4.13,14.959541695,NA,NA,NA,NA,NA,NA,0.688
Toolik,2011-07-08T00:00:00Z,1,0.9,1.1,0.37,0.02,1.98,NA,NA,NA,NA,NA,NA,NA,NA
I1,2011-07-12T00:00:00Z,1,0.67,0.8,0.24,0.02,0.32,11.16676373,20.41792385035849,NA,NA,NA,NA,NA,0.256
I1,2011-07-12T00:00:00Z,5,1.11,1.27,0.3,0.02,2.66,11.14661666,19.750432335744456,NA,NA,NA,NA,NA,0.257
I1,2011-07-12T00:00:00Z,9,1.53,2.14,1.15,0.02,3.04,15.2969133,25.940261875269563,NA,NA,NA,NA,NA,NA
I2,2011-07-12T00:00:00Z,1,0.77,0.89,0.21,0.02,2.85,13.06058841,23.60752520100052,NA,NA,NA,NA,NA,0.231
I2,2011-07-12T00:00:00Z,4,0.92,1.13,0.38,0.02,2.59,12.93970599,23.87125938831609,NA,NA,NA,NA,NA,0.22
I2,2011-07-12T00:00:00Z,14,0.32,0.55,0.43,0.03,1.85,15.59911937,25.97498822074168,NA,NA,NA,NA,NA,0.228
I3,2011-07-12T00:00:00Z,1,1.39,1.59,0.39,0.03,1.91,13.02029427,27.669330628623968,NA,NA,NA,NA,NA,0.22
I3,2011-07-12T00:00:00Z,3,1.36,1.56,0.38,0.04,2.19,13.34264741,28.040977442172448,NA,NA,NA,NA,NA,0.225
I4,2011-07-12T00:00:00Z,1,1.39,1.72,0.62,0.02,1.85,13.12102963,28.288250703243378,NA,NA,NA,NA,NA,0.18
I4,2011-07-12T00:00:00Z,4,1.93,2.41,0.9,0.03,3.04,12.59720578,26.319795883848666,NA,NA,NA,NA,NA,0.169
I4,2011-07-12T00:00:00Z,6,1.4,2.31,1.73,0.08,1.25,13.54411812,30.150607111141568,NA,NA,NA,NA,NA,0.178
I5,2011-07-12T00:00:00Z,1,0.91,1.11,0.38,0.04,0.91,15.21632502,24.67147278130302,NA,NA,NA,NA,NA,0.205
I5,2011-07-12T00:00:00Z,5,1.24,1.54,0.56,0.03,1.93,16.22367857,25.936916784678814,NA,NA,NA,NA,NA,0.206
I5,2011-07-12T00:00:00Z,8,2.62,3.31,1.32,0.04,2.5,12.59720578,26.965079268941512,NA,NA,NA,NA,NA,0.209
I6,2011-07-12T00:00:00Z,1,0.64,0.72,0.13,0.02,2.26,16.6870612,25.303472239485068,NA,NA,NA,NA,NA,0.977
I6,2011-07-12T00:00:00Z,5,1.16,1.32,0.3,0.02,2.29,13.52397105,25.08094150969079,NA,NA,NA,NA,NA,0.726
I6,2011-07-12T00:00:00Z,6,1.32,1.59,0.5,0.02,1.94,11.99279365,23.170071144564734,NA,NA,NA,NA,NA,0.961
I6,2011-07-13T00:00:00Z,1,1.06,1.29,0.43,0.02,1.76,13.34264741,24.579924637292734,NA,NA,NA,NA,NA,0.357
I6,2011-07-13T00:00:00Z,5,2.48,2.94,0.89,0.02,2.3,15.9214725,25.420589531088424,NA,NA,NA,NA,NA,0.36
I6,2011-07-13T00:00:00Z,12,1.15,1.67,0.98,0.03,2.71,18.96368023,24.185942919905933,NA,NA,NA,NA,NA,0.363
I7,2011-07-13T00:00:00Z,1,0.94,1.1,0.31,0.03,3.53,14.10823611,24.75147018196283,NA,NA,NA,NA,NA,0.263
I7,2011-07-13T00:00:00Z,4,1.41,1.7,0.54,0.04,NA,14.79323652,24.628306253042542,NA,NA,NA,NA,NA,0.275
I7,2011-07-13T00:00:00Z,10,1.23,2.18,1.8,0.03,1.72,18.11750325,37.42839861311759,NA,NA,NA,NA,NA,0.312
I8,2011-07-13T00:00:00Z,1,1.77,2.2,0.81,0.03,1.57,11.4689698,23.57200652949964,NA,NA,NA,NA,NA,NA
I8,2011-07-13T00:00:00Z,5,2.67,3.56,1.68,0.03,2.89,10.5623516,24.49377713140941,NA,NA,NA,NA,NA,0.591
I8,2011-07-13T00:00:00Z,7,2.7,4.09,2.64,0.03,1.24,11.54955808,33.06527186591153,NA,NA,NA,NA,NA,0.524
Toolik,2011-07-15T00:00:00Z,0,1.36,1.56,0.37,0.02,2.41,16.114775215,NA,NA,NA,NA,NA,NA,0.682
Toolik,2011-07-15T00:00:00Z,1,1.3,1.51,0.4,0.02,2.19,12.57202589,NA,NA,NA,NA,NA,NA,0.687
Toolik,2011-07-15T00:00:00Z,3,1.35,1.58,0.43,0.01,0.01,11.45982908,NA,NA,NA,NA,NA,NA,0.686
Toolik,2011-07-15T00:00:00Z,5,1.94,2.38,0.83,0.02,2.26,12.171635035,NA,NA,NA,NA,NA,NA,0.683
Toolik,2011-07-15T00:00:00Z,8,NA,NA,NA,0.02,2.62,11.92448019,NA,NA,NA,NA,NA,NA,0.673
Toolik,2011-07-15T00:00:00Z,12,1.42,1.81,0.73,0.02,3.37,15.20669654,NA,NA,NA,NA,NA,NA,0.684
Toolik,2011-07-15T00:00:00Z,16,0.65,0.91,0.48,0.02,4.65,13.970922315,NA,NA,NA,NA,NA,NA,0.705
Toolik,2011-07-15T00:00:00Z,19,0.74,1.28,1.03,0.02,5.19,14.09944283,NA,NA,NA,NA,NA,NA,0.707
Toolik,2011-07-15T00:00:00Z,1,1.33,1.5,0.32,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
NE 14,2011-07-16T00:00:00Z,1,NA,NA,NA,0.02,0.01,8.3,NA,NA,NA,NA,80.09999999999998,193.2,1.827
NE 14,2011-07-16T00:00:00Z,7,NA,NA,NA,0.01,0.12,9.3,NA,NA,NA,NA,55.9,217.9,1.865
NE 14,2011-07-16T00:00:00Z,16,NA,NA,NA,0.02,0.14,8.8,NA,NA,NA,NA,63.8,401.2,2.186
Fog 02,2011-07-20T00:00:00Z,0,0.38,0.44,0.11,0.02,1.57,11.81147001,NA,NA,NA,NA,NA,NA,1.394
Fog 02,2011-07-20T00:00:00Z,1,0.38,0.44,0.1,0.16,NA,9.736321688,NA,NA,NA,NA,NA,NA,1.498
Fog 02,2011-07-20T00:00:00Z,3,0.37,0.44,0.11,0.02,0.72,11.56970515,NA,NA,NA,NA,NA,NA,1.528
Fog 02,2011-07-20T00:00:00Z,5,0.47,0.55,0.14,0.02,1.36,10.11911604,NA,NA,NA,NA,NA,NA,1.479
Fog 02,2011-07-20T00:00:00Z,8,1.02,1.22,0.38,0.02,NA,11.20705788,NA,NA,NA,NA,NA,NA,1.549
Fog 02,2011-07-20T00:00:00Z,12,3.85,4.73,1.67,0.03,1.57,10.4213221,NA,NA,NA,NA,NA,NA,1.689
Fog 02,2011-07-20T00:00:00Z,16,5.46,6.77,2.49,0.03,1.71,14.61191288,NA,NA,NA,NA,NA,NA,1.828
Fog 04,2011-07-20T00:00:00Z,0,2.31,2.58,0.51,0.03,0.02,19.31919521,NA,NA,NA,NA,NA,NA,1.032
Fog 04,2011-07-20T00:00:00Z,1,2.24,2.5,0.5,0.03,0.56,18.92889957,NA,NA,NA,NA,NA,NA,1.041
Fog 04,2011-07-20T00:00:00Z,3,2.9,3.34,0.83,0.03,1.51,18.61666306,NA,NA,NA,NA,NA,NA,1.067
NE 14,2011-07-21T00:00:00Z,0,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA
NE 14,2011-07-21T00:00:00Z,1,NA,NA,NA,0.02,NA,8.2,NA,NA,NA,NA,16.3,152,1.868
NE 14,2011-07-21T00:00:00Z,3,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA
NE 14,2011-07-21T00:00:00Z,5,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA
NE 14,2011-07-21T00:00:00Z,7,NA,NA,NA,0.02,0.03,6.9,NA,NA,NA,NA,17.5,159.5,2.048
NE 14,2011-07-21T00:00:00Z,8,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA
NE 14,2011-07-21T00:00:00Z,12,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA
NE 14,2011-07-21T00:00:00Z,16,NA,NA,NA,0.02,NA,8.6,NA,NA,NA,NA,58.8,383.6,2.307
Toolik,2011-07-22T00:00:00Z,0,1.17,1.34,0.31,0.02,0.15,12.02334213,NA,NA,NA,NA,NA,NA,0.687
Toolik,2011-07-22T00:00:00Z,1,1.14,1.32,0.34,0.02,2.6,11.04460894,NA,NA,NA,NA,NA,NA,0.691
Toolik,2011-07-22T00:00:00Z,3,1.21,1.32,0.21,0.03,3.15,10.985291779,NA,NA,NA,NA,NA,NA,0.681
Toolik,2011-07-22T00:00:00Z,5,1.14,1.31,0.32,0.03,2.2,11.60812199,NA,NA,NA,NA,NA,NA,0.686
Toolik,2011-07-22T00:00:00Z,8,1.64,1.92,0.52,0.03,2.91,11.351080955,NA,NA,NA,NA,NA,NA,0.684
