lake,longitude_utm,latitude_utm,state,source,state_lake_id,epa_lake_id,date,year,CHL_ugL,TN_ugL,TP_ugL,Area_km2,Z_mean_m,Watershed_km2,AgUrb.prop
Meadow Lake,129621.6638,2043365.352,IA,IADNR_ISU,82,IA082,7/26/04,2004,40,1490,116.29,14.008,3.109,3.149,high
Meyers Lake,303081.8643,2168451.616,IA,IADNR_ISU,83,IA083,8/10/04,2004,35.4,1340,89.67,12.565,2.205,0.276,high
Mill Creek Lake,26877.54765,2221141.143,IA,IADNR_ISU,84,IA084,7/19/04,2004,15.52,1692,34.02,12.637,1.425,14.423,high
Mitchell Lake,301043.213,2170148.057,IA,IADNR_ISU,85,IA085,8/10/04,2004,31.73,1404,77.46,5.107,7.187,0.017,high
Mormon Trail Lake,113654.894,2026925.232,IA,IADNR_ISU,87,IA087,7/26/04,2004,30.44,1007,33.42,13.071,4.207,1.556,high
North Twin Lake,111903.6267,2166007.975,IA,IADNR_ISU,90,IA090,7/22/04,2004,39.76,1499,67.88,186.29,3.019,8.487,high
Oldham Lake,17418.53591,2112107.936,IA,IADNR_ISU,91,IA091,7/29/04,2004,28.16,530,76.92,5.506,3.035,2.783,high
Otter Creek Lake,286058.095,2121117.324,IA,IADNR_ISU,92,IA092,8/11/04,2004,65.36,2067,103.43,25.651,2.988,3.967,high
Ottumwa Central Park Ponds,298198.961,2005397.346,IA,IADNR_ISU,93,IA093,8/4/04,2004,138.96,4308,355.19,28.294,1.704,9.02,high
Pierce Creek Lake,53775.37957,1980256.99,IA,IADNR_ISU,94,IA094,7/27/04,2004,51.32,1943,97.25,13.744,1.72,11.161,high
Prairie Rose Lake,64594.46603,2066187.824,IA,IADNR_ISU,97,IA097,7/28/04,2004,32.4,3076,56.58,77.115,2.326,18.007,high
Silver Lake (Dickinson),52597.77173,2272489.672,IA,IADNR_ISU,105,IA105,7/20/04,2004,327.84,3598,194.79,417.228,1.847,61.55,high
Silver Lake (Delaware),382099.9043,2167689.036,IA,IADNR_ISU,107,IA107,8/11/04,2004,100.8,4123,330.97,15.564,1.951,0.815,high
South Prairie Lake,289068.3404,2169663.767,IA,IADNR_ISU,110,IA110,8/10/04,2004,49.08,1370,160.55,9.985,2.862,0.247,high
Storm Lake (incl Little Storm Lake),64655.01208,2180968.48,IA,IADNR_ISU,113,IA113,7/22/04,2004,28.56,1198,96.07,1234.786,2.308,59.493,high
Twelve Mile Creek Lake,144255.9389,2008292.514,IA,IADNR_ISU,119,IA119,7/27/04,2004,24.88,2036,30.14,233.026,4.599,56.735,high
